character_name,world_name,character_gender,character_class,character_level,character_guild_name,hair_name,hair_base_color,hair_mix_color,hair_mix_rate,face_name,face_base_color,face_mix_color,face_mix_rate,skin_name
오지환,루나,여,키네시스,297,루나,갈색 블랑슈 헤어,갈색,보라색,50,조용한 눈 얼굴,에메랄드,갈색,50,홍조 라벤더 피부
단솜,스카니아,여,윈드브레이커,297,봄연,보라색 말괄량이 헤어,보라색,초록색,50,졸린 오드아이 얼굴,자수정,초록색,21,커스텀 홍조 피치 피부
버터,엘리시움,남,나이트로드,296,BOSS,검은색 플로리안 헤어,검은색,초록색,22,졸린 얼굴,검은색,,0,뽀송 라벤더 피부
솝상,크로아,여,비숍,296,생글,초록색 여우소녀 헤어,초록색,,0,뭐요 얼굴,빨간색,,0,홍조 꽃잎 피부
테룽이,이노시스,남,카이저,296,프라하,검은색 프림로즈 헤어,검은색,,0,흥흥 얼굴,파란색,보라색,50,뽀송 꽃잎 피부
보마노랑이,제니스,여,보우마스터,296,달치즈,보라색 더듬이 헤어,보라색,노란색,70,몬스터 예티 얼굴,빨간색,,0,금구슬 피부
카사,스카니아,남,팬텀,296,악마,검은색 내가 제일 헤어,검은색,,0,졸린 얼굴,검은색,파란색,49,뽀송 라벤더 피부
헨쇼,엘리시움,여,아델,296,송이,검은색 내츄럴 레프 헤어,검은색,,0,졸린 얼굴,검은색,,0,엘프 피부
쀼챠,루나,기타,제로,296,Cross,검은색 버블리 헤어,검은색,노란색,23,조용한 눈 얼굴,초록색,보라색,50,뽀송 꽃잎 피부
쀼챠,루나,기타,제로,296,Cross,노란색 하리화 헤어,노란색,파란색,56,조용한 눈 얼굴,에메랄드,갈색,50,뽀송 꽃잎 피부
뎅아인,루나,남,에반,295,Frozen,노란색 안젤로 헤어,노란색,보라색,40,헤헤 얼굴,에메랄드,보라색,50,뽀송 라벤더 피부
케인WWE챔프,엘리시움,남,배틀메이지,295,루밍,주황색 루야 헤어,주황색,파란색,50,아잉 얼굴,검은색,,0,뽀송 꽃잎 피부
갓지훈,베라,남,나이트로드,295,반달,노란색 뾰롱이 헤어,노란색,갈색,7,몬스터 페페 얼굴,파란색,자수정,50,몬스터 슬라임 피부
o우르키오라o,제니스,남,은월,295,에우로파,빨간색 페르 헤어,빨간색,파란색,66,차분한 루시드 얼굴,검은색,파란색,23,뽀송 라벤더 피부
최무등,베라,여,패스파인더,295,순애,검은색 신궁 헤어,검은색,노란색,26,조용한 눈 얼굴,자수정,빨간색,50,홍조 꽃잎 피부
압도,베라,여,듀얼블레이더,295,꼬마별,주황색 벨라 헤어,주황색,파란색,76,조용한 눈 얼굴,파란색,,0,홍조 라벤더 피부
벨벨,엘리시움,남,스트라이커,295,아르테미스,노란색 안젤로 헤어,노란색,보라색,69,멍한 오드아이 얼굴,검은색,자수정,24,홍조 라벤더 피부
징베,크로아,남,캡틴,295,간달프,검은색 숲의 요정,검은색,,0,루어 얼굴,갈색,,0,헬시 피부
김솔밤,베라,남,다크나이트,295,Real,검은색 에반 남자 머리,검은색,초록색,99,멍한 얼굴,검은색,,0,헬시 피부
혜넹,이노시스,여,일리움,295,악동,검은색 솜솜이 헤어,검은색,,0,조용한 눈 얼굴,검은색,,0,뽀송 꽃잎 피부
빅시커,베라,여,엔젤릭버스터,295,반달,빨간색 맑은 단발 헤어,빨간색,초록색,50,맑음 얼굴,검은색,보라색,50,뽀송 꽃잎 피부
빅시커,베라,여,엔젤릭버스터,295,반달,보라색 엘로디 헤어,보라색,빨간색,88,조용한 눈 얼굴,에메랄드,갈색,72,뽀송 꽃잎 피부
몽둥이여사님,루나,여,비숍,295,Cross,검은색 퐁당 헤어,검은색,주황색,50,조용한 눈 얼굴,검은색,,0,뽀송 꽃잎 피부
별왕,크로아,여,카데나,295,Alpha,빨간색 벨라 헤어,빨간색,파란색,50,Selfy 경고 얼굴,파란색,자수정,48,뽀송 라벤더 피부
걍조,스카니아,남,듀얼블레이더,295,사랑,검은색 허쉬 헤어,검은색,주황색,11,조용한 눈 얼굴,에메랄드,자수정,50,뽀송 라벤더 피부
식초,크로아,남,듀얼블레이더,295,지존,검은색 빅토리 라이더 헤어,검은색,파란색,5,멍한 오드아이 얼굴,검은색,자수정,21,홍조 라벤더 피부
