character_name,world_name,character_gender,character_class,character_level,character_guild_name,cash_item_equipment_part,cash_item_name,cash_item_label
오지환,루나,여,키네시스,297,루나,모자,보송 꿀벌 머리띠,
오지환,루나,여,키네시스,297,루나,얼굴장식,인형 보라,
오지환,루나,여,키네시스,297,루나,눈장식,투명 안경,
오지환,루나,여,키네시스,297,루나,한벌옷,별빛 꿀벌옷,
오지환,루나,여,키네시스,297,루나,신발,투명 신발,
오지환,루나,여,키네시스,297,루나,장갑,투명 장갑,
오지환,루나,여,키네시스,297,루나,망토,꿀벌 요정 날개,
오지환,루나,여,키네시스,297,루나,무기,해바라기 큰송이,스페셜라벨
단솜,스카니아,여,윈드브레이커,297,봄연,모자,방울 고깔,블랙라벨
단솜,스카니아,여,윈드브레이커,297,봄연,한벌옷,아린 장미,마스터라벨
단솜,스카니아,여,윈드브레이커,297,봄연,신발,반쪽 붕대,스페셜라벨
단솜,스카니아,여,윈드브레이커,297,봄연,망토,푹신 솜꼬리,블랙라벨
단솜,스카니아,여,윈드브레이커,297,봄연,무기,나도 데려가!,블랙라벨
버터,엘리시움,남,나이트로드,296,BOSS,모자,기억의 늪,
버터,엘리시움,남,나이트로드,296,BOSS,얼굴장식,오렌지 발그레,
버터,엘리시움,남,나이트로드,296,BOSS,눈장식,투명 안경,
버터,엘리시움,남,나이트로드,296,BOSS,귀고리,투명 귀고리,
버터,엘리시움,남,나이트로드,296,BOSS,한벌옷,다가간 구원,
버터,엘리시움,남,나이트로드,296,BOSS,신발,봉인된 기억,
버터,엘리시움,남,나이트로드,296,BOSS,장갑,폼폼 핀쿠션,블랙라벨
버터,엘리시움,남,나이트로드,296,BOSS,망토,속박의 사슬,
버터,엘리시움,남,나이트로드,296,BOSS,무기,어둠 속 의식,
버터,엘리시움,남,나이트로드,296,BOSS,반지,혈맹의 반지,
버터,엘리시움,남,나이트로드,296,BOSS,반지,경험치 부스트 링(15%),
버터,엘리시움,남,나이트로드,296,BOSS,반지,오로라 반지,
솝상,크로아,여,비숍,296,생글,모자,별하늘 난초,
솝상,크로아,여,비숍,296,생글,한벌옷,난빛 항아,
솝상,크로아,여,비숍,296,생글,신발,별하늘 꽃술,
솝상,크로아,여,비숍,296,생글,망토,사라사,
