,character_name,world_name,character_gender,character_class,character_level,cash_item_equipment_part,cash_item_name,cash_item_label
0,오지환,루나,여,키네시스,297,모자,보송 꿀벌 머리띠,
1,오지환,루나,여,키네시스,297,얼굴장식,인형 보라,
2,오지환,루나,여,키네시스,297,눈장식,투명 안경,
3,오지환,루나,여,키네시스,297,한벌옷,별빛 꿀벌옷,
4,오지환,루나,여,키네시스,297,신발,투명 신발,
5,오지환,루나,여,키네시스,297,장갑,투명 장갑,
6,오지환,루나,여,키네시스,297,망토,꿀벌 요정 날개,
7,오지환,루나,여,키네시스,297,무기,해바라기 큰송이,스페셜라벨
8,단솜,스카니아,여,윈드브레이커,297,모자,방울 고깔,블랙라벨
9,단솜,스카니아,여,윈드브레이커,297,한벌옷,아린 장미,마스터라벨
10,단솜,스카니아,여,윈드브레이커,297,신발,반쪽 붕대,스페셜라벨
11,단솜,스카니아,여,윈드브레이커,297,망토,푹신 솜꼬리,블랙라벨
12,단솜,스카니아,여,윈드브레이커,297,무기,나도 데려가!,블랙라벨
13,버터,엘리시움,남,나이트로드,296,모자,기억의 늪,
14,버터,엘리시움,남,나이트로드,296,얼굴장식,오렌지 발그레,
15,버터,엘리시움,남,나이트로드,296,눈장식,투명 안경,
16,버터,엘리시움,남,나이트로드,296,귀고리,투명 귀고리,
17,버터,엘리시움,남,나이트로드,296,한벌옷,다가간 구원,
18,버터,엘리시움,남,나이트로드,296,신발,봉인된 기억,
19,버터,엘리시움,남,나이트로드,296,장갑,폼폼 핀쿠션,블랙라벨
20,버터,엘리시움,남,나이트로드,296,망토,속박의 사슬,
21,버터,엘리시움,남,나이트로드,296,무기,어둠 속 의식,
22,버터,엘리시움,남,나이트로드,296,반지,혈맹의 반지,
23,버터,엘리시움,남,나이트로드,296,반지,경험치 부스트 링(15%),
24,버터,엘리시움,남,나이트로드,296,반지,오로라 반지,
25,솝상,크로아,여,비숍,296,모자,별하늘 난초,
26,솝상,크로아,여,비숍,296,한벌옷,난빛 항아,
27,솝상,크로아,여,비숍,296,신발,별하늘 꽃술,
28,솝상,크로아,여,비숍,296,망토,사라사,
29,솝상,크로아,여,비숍,296,무기,샤키엘의 검,
30,솝상,크로아,여,비숍,296,반지,일루전 링 : 레이스캡 검은색고양이,
31,테룽이,이노시스,남,카이저,296,모자,냥냥 머리띠,
32,테룽이,이노시스,남,카이저,296,한벌옷,별을 담은 밤하늘,
33,테룽이,이노시스,남,카이저,296,신발,별을 담은 신,
34,테룽이,이노시스,남,카이저,296,망토,밤 비단 두루마기,
35,테룽이,이노시스,남,카이저,296,무기,천년의 약속,
36,보마노랑이,제니스,여,보우마스터,296,모자,꿈꾸는 애벌레 더듬이,
37,보마노랑이,제니스,여,보우마스터,296,얼굴장식,스펙터 가면,
38,보마노랑이,제니스,여,보우마스터,296,한벌옷,꿈꾸는 애벌레 배,
39,보마노랑이,제니스,여,보우마스터,296,신발,꿈꾸는 애벌레 장화,
40,보마노랑이,제니스,여,보우마스터,296,장갑,꿈꾸는 애벌레 장갑,
41,보마노랑이,제니스,여,보우마스터,296,망토,꿈꾸는 애벌레 꼬리,
42,보마노랑이,제니스,여,보우마스터,296,무기,꿈틀꿈틀 꿈사과,
43,보마노랑이,제니스,여,보우마스터,296,반지,싱크 말풍선 반지,
44,보마노랑이,제니스,여,보우마스터,296,반지,싱크 명찰 반지,
45,카사,스카니아,남,팬텀,296,모자,하보크 뿔,
46,카사,스카니아,남,팬텀,296,얼굴장식,카리아인 메이크업,
47,카사,스카니아,남,팬텀,296,눈장식,LED 선글라스,
48,카사,스카니아,남,팬텀,296,상의,검은 정장,
49,카사,스카니아,남,팬텀,296,하의,검은 정장 바지,
50,카사,스카니아,남,팬텀,296,신발,검은색 정장 구두,
51,카사,스카니아,남,팬텀,296,장갑,아그니스 장갑,
52,카사,스카니아,남,팬텀,296,망토,영원 궤도,마스터라벨
53,카사,스카니아,남,팬텀,296,무기,절망의 불꽃,스페셜라벨
54,헨쇼,엘리시움,여,아델,296,모자,메이플 바캉스 모자,
55,헨쇼,엘리시움,여,아델,296,눈장식,투명 안경,
56,헨쇼,엘리시움,여,아델,296,한벌옷,메이플 바캉스 의상,
57,헨쇼,엘리시움,여,아델,296,신발,메이플 바캉스 샌들,
58,헨쇼,엘리시움,여,아델,296,망토,은하의 파편,
59,헨쇼,엘리시움,여,아델,296,무기,약속의 시간,
60,쀼챠,루나,기타,제로,296,모자,투명 모자,
61,쀼챠,루나,기타,제로,296,한벌옷,드리밍 유니콩,
62,쀼챠,루나,기타,제로,296,신발,드리밍 매직,
63,쀼챠,루나,기타,제로,296,망토,투명 망토,
64,쀼챠,루나,기타,제로,296,무기,무한성단,마스터라벨
65,쀼챠,루나,기타,제로,296,반지,싱크 말풍선 반지,
66,쀼챠,루나,기타,제로,296,반지,싱크 명찰 반지,
67,뎅아인,루나,남,에반,295,모자,레터럴 도그마,
68,뎅아인,루나,남,에반,295,상의,토끼가방 메고,
69,뎅아인,루나,남,에반,295,신발,투명 신발,
70,뎅아인,루나,남,에반,295,망토,영원의 시계태엽,마스터라벨
71,뎅아인,루나,남,에반,295,무기,투명 무기,
